aX,aY,aZ,gX,gY,gZ
-0.889,1.513,0.637,103.699,13.123,-50.110
-0.965,1.750,0.808,98.145,12.085,-50.415
-1.046,1.964,0.927,89.417,13.733,-56.519
-1.020,2.087,1.016,76.782,18.311,-66.833
-0.918,2.196,1.107,58.655,19.714,-72.083
-0.844,2.329,1.178,36.682,14.893,-69.153
-0.778,2.370,1.203,12.878,8.667,-62.073
-0.637,2.402,1.202,-11.230,6.653,-56.702
-0.519,2.413,1.173,-31.982,4.211,-45.898
-0.416,2.341,1.117,-52.917,-0.427,-33.325
-0.339,2.207,1.044,-70.679,-3.784,-22.705
-0.293,2.046,0.973,-86.914,-5.249,-11.780
-0.238,1.863,0.911,-103.027,-5.310,-1.038
-0.179,1.651,0.853,-119.629,-4.150,11.414
-0.154,1.481,0.788,-135.681,-2.075,22.644
-0.072,1.322,0.715,-150.085,6.958,27.588
0.021,1.116,0.616,-160.339,19.714,30.273
0.103,0.906,0.511,-166.992,30.640,34.363
0.168,0.742,0.405,-173.096,41.321,42.664
0.227,0.587,0.305,-177.612,52.490,53.589
0.261,0.414,0.208,-178.589,64.392,63.171
0.279,0.263,0.109,-175.537,77.148,70.374
0.293,0.141,0.029,-168.640,89.050,77.576
0.267,0.030,-0.034,-159.241,100.281,86.853
0.209,-0.075,-0.096,-147.705,111.816,96.985
0.083,-0.209,-0.123,-133.911,120.728,107.056
-0.123,-0.325,-0.125,-119.385,122.192,117.310
-0.353,-0.379,-0.087,-109.253,119.385,128.113
-0.616,-0.445,-0.035,-101.807,115.295,136.536
-0.861,-0.539,0.015,-94.788,117.859,137.268
-1.018,-0.596,0.023,-86.182,128.784,127.686
-1.145,-0.669,0.017,-74.158,140.381,113.342
-1.312,-0.774,0.025,-56.824,141.663,103.882
-1.536,-0.899,0.057,-36.560,130.554,104.614
-1.834,-0.996,0.159,-16.418,108.582,108.582
-2.211,-1.006,0.323,0.549,80.078,112.000
-2.580,-1.000,0.532,11.841,51.270,109.619
-2.874,-0.964,0.729,18.433,25.757,100.220
-3.093,-0.931,0.890,21.790,3.174,83.557
-3.311,-0.906,0.947,20.874,-16.418,60.791
-3.533,-0.969,0.872,20.935,-32.471,34.851
-3.700,-1.044,0.726,20.874,-46.814,6.592
-3.736,-1.073,0.623,22.278,-64.209,-17.212
-3.710,-1.187,0.535,28.198,-88.928,-37.048
-3.687,-1.164,0.522,44.617,-125.610,-54.016
-3.659,-1.127,0.540,65.063,-164.551,-58.350
-3.532,-1.136,0.604,75.623,-186.096,-76.538
-3.336,-1.088,0.701,85.754,-188.538,-110.413
-2.976,-1.031,0.767,95.886,-170.837,-166.504
-2.533,-0.999,0.808,104.614,-148.621,-218.994
-2.013,-0.956,0.820,107.971,-128.845,-260.620
-1.406,-0.910,0.853,113.953,-115.295,-292.114
-0.747,-0.797,0.890,120.544,-112.427,-304.810
-0.128,-0.676,0.948,127.136,-121.704,-296.814
0.543,-0.463,1.011,132.141,-136.780,-269.348
1.141,-0.236,1.093,137.085,-156.860,-224.304
1.617,0.035,1.188,143.982,-183.105,-167.847
1.816,0.317,1.327,147.278,-207.275,-106.873
1.672,0.667,1.428,139.099,-215.027,-58.533
1.412,0.933,1.490,129.456,-192.261,-37.903
1.298,1.100,1.473,126.770,-139.160,-48.462
1.317,1.180,1.388,125.732,-79.163,-73.792
1.361,1.201,1.282,120.300,-38.818,-89.600
1.323,1.232,1.202,112.915,-23.071,-82.031
1.195,1.267,1.161,106.812,-20.447,-60.181
1.037,1.283,1.201,100.281,-22.766,-36.987
0.799,1.316,1.306,86.670,-29.541,-14.343
0.473,1.345,1.374,64.880,-33.325,1.404
0.221,1.309,1.332,42.725,-22.949,0.916
0.096,1.218,1.198,23.499,1.953,-16.235
0.038,1.085,1.003,4.272,32.715,-39.124
0.009,0.933,0.795,-9.094,61.340,-59.631
-0.021,0.775,0.636,-15.015,85.632,-74.524
-0.089,0.652,0.530,-17.029,105.286,-81.177
-0.167,0.592,0.431,-20.020,119.629,-80.017
-0.256,0.540,0.347,-21.484,125.549,-72.937
